vertex_number,arista_number,r_value,és_connex,n_connexions,computation_time
77,3,0.85,0,74,0
77,3,0.9,0,74,0
77,3,0.95,0,74,0
42,0,0,0,42,0
42,552,0.05,1,1,0
42,193,0.1,0,3,0
42,88,0.15,0,12,0
42,62,0.2,0,14,0
42,46,0.25,0,16,0
42,28,0.3,0,23,0
42,7,0.35,0,37,0
42,7,0.4,0,37,0
42,7,0.45,0,37,0
42,7,0.5,0,37,0
42,2,0.55,0,40,0
42,2,0.6,0,40,0
42,2,0.65,0,40,0
42,2,0.7,0,40,0
42,2,0.75,0,40,0
42,2,0.8,0,40,0
42,2,0.85,0,40,0
42,2,0.9,0,40,0
42,2,0.95,0,40,0
42,0,0,0,42,0
42,552,0.05,1,1,0
42,193,0.1,0,3,0
42,88,0.15,0,12,0
42,62,0.2,0,14,0
42,46,0.25,0,16,0
42,28,0.3,0,23,0
42,7,0.35,0,37,0
42,7,0.4,0,37,0
42,7,0.45,0,37,0
42,7,0.5,0,37,0
42,2,0.55,0,40,0
42,2,0.6,0,40,0
42,2,0.65,0,40,0
42,2,0.7,0,40,0
42,2,0.75,0,40,0
42,2,0.8,0,40,0
42,2,0.85,0,40,0
42,2,0.9,0,40,0
42,2,0.95,0,40,0
42,0,0,0,42,0
42,552,0.05,1,1,0
42,193,0.1,0,3,0
42,88,0.15,0,12,0
42,62,0.2,0,14,0
42,46,0.25,0,16,0
42,28,0.3,0,23,0
42,7,0.35,0,37,0
42,7,0.4,0,37,0
42,7,0.45,0,37,0
42,7,0.5,0,37,0
42,2,0.55,0,40,0
42,2,0.6,0,40,0
42,2,0.65,0,40,0
42,2,0.7,0,40,0
42,2,0.75,0,40,0
42,2,0.8,0,40,0
42,2,0.85,0,40,0
42,2,0.9,0,40,0
42,2,0.95,0,40,0
42,0,0,0,42,0
42,552,0.05,1,1,0
42,193,0.1,0,3,0
42,88,0.15,0,12,0
42,62,0.2,0,14,0
42,46,0.25,0,16,0
42,28,0.3,0,23,0
42,7,0.35,0,37,0
42,7,0.4,0,37,0
42,7,0.45,0,37,0
42,7,0.5,0,37,0
42,2,0.55,0,40,0
42,2,0.6,0,40,0
42,2,0.65,0,40,0
42,2,0.7,0,40,0
42,2,0.75,0,40,0
42,2,0.8,0,40,0
42,2,0.85,0,40,0
42,2,0.9,0,40,0
42,2,0.95,0,40,0
42,0,0,0,42,0
42,552,0.05,1,1,0
42,193,0.1,0,3,0
42,88,0.15,0,12,0
42,62,0.2,0,14,0
42,46,0.25,0,16,0
42,28,0.3,0,23,0
42,7,0.35,0,37,0
42,7,0.4,0,37,0
42,7,0.45,0,37,0
42,7,0.5,0,37,0
42,2,0.55,0,40,0
42,2,0.6,0,40,0
42,2,0.65,0,40,0
42,2,0.7,0,40,0
42,2,0.75,0,40,0
42,2,0.8,0,40,0
42,2,0.85,0,40,0
42,2,0.9,0,40,0
42,2,0.95,0,40,0
